1,GK,Ángel Bossio,(1905-05-05)5 May 1905 (aged 25),,Talleres,Argentina,Argentina,1930
1,GK,Juan Botasso,(1908-10-23)23 October 1908 (aged 21),,Quilmes,Argentina,Argentina,1930
9,FW,Roberto Cherro,(1907-02-23)23 February 1907 (aged 23),,Boca Juniors,Argentina,Argentina,1930
4,DF,Alberto Chividini,(1907-02-23)23 February 1907 (aged 23),,Central Norte Tucumán,Argentina,Argentina,1930
10,FW,Attilio Demaría,(1909-03-19)19 March 1909 (aged 21),,Estudiantil Porteño,Argentina,Argentina,1930
2,DF,José Della Torre,(1906-03-23)23 March 1906 (aged 24),,Racing,Argentina,Argentina,1930
04 & 6,DF,Juan Evaristo,(1902-06-20)20 June 1902 (aged 28),,Sportivo Barracas,Argentina,Argentina,1930
11,FW,Mario Evaristo,(1908-12-10)10 December 1908 (aged 21),,Boca Juniors,Argentina,Argentina,1930
10,FW,Manuel Ferreira (c),(1905-10-22)22 October 1905 (aged 24),,Estudiantes de La Plata,Argentina,Argentina,1930
5,MF,Luis Monti,(1901-05-15)15 May 1901 (aged 29),,San Lorenzo,Argentina,Argentina,1930
3,DF,Ramón Muttis,(1899-03-12)12 March 1899 (aged 31),,Boca Juniors,Argentina,Argentina,1930
6,DF,Rodolfo Orlandini,(1905-01-01)1 January 1905 (aged 25),,Estudiantil Porteño,Argentina,Argentina,1930
3,DF,Fernando Paternoster,(1903-05-24)24 May 1903 (aged 27),,Racing,Argentina,Argentina,1930
7,FW,Natalio Perinetti,(1900-12-28)28 December 1900 (aged 29),,Racing,Argentina,Argentina,1930
